marka,model,ostecenje,snaga,registrovan,kilometraza,kubikaza,gorivo,mjenjac,god,cena
Volkswagen,Passat CC,Bez oštećenja,170,Da,276000,1980,Dizel,Automatski,2012,12900
Citroen,Xsara Picasso,Bez oštećenja,108,Da,1234567890,1600,Dizel,Manuelni,2007,1600
Volkswagen,Touran,Bez oštećenja,170,Ne,200200,1968,Dizel,Automatski,2006,4800
Peugeot,308,Bez oštećenja,99,Da,188000,1600,Dizel,Manuelni,2017,9500
Volkswagen,Touran,Bez oštećenja,170,Ne,200200,1968,Dizel,Automatski,2006,4800
Peugeot,308,Bez oštećenja,99,Da,188000,1600,Dizel,Manuelni,2017,9500
Mercedes Benz,ML 250,Bez oštećenja,204,Da,219000,2200,Dizel,Automatski,2012,19800
Volkswagen,Golf 3,Bez oštećenja,75,Da,300000,1900,Dizel,Manuelni,1996,1500
Volkswagen,Passat CC,Bez oštećenja,140,Da,240000,2000,Dizel,Manuelni,2008,8800
Mercedes Benz,S 500,Bez oštećenja,408,Da,195000,4700,Benzin,Automatski,2011,26000
Chevrolet,Aveo,Bez oštećenja,73,Da,139500,1200,Benzin,Manuelni,2007,2200
Peugeot,208,Bez oštećenja,74,Ne,169000,1600,Dizel,Manuelni,2018,6900
Renault,Captur,Bez oštećenja,89,Da,13000,1500,Dizel,Manuelni,2015,8700
Renault,Megane,Bez oštećenja,89,Ne,179000,1500,Dizel,Manuelni,2017,8900
Kia,Optima,Bez oštećenja,136,Da,210000,1700,Dizel,Automatski,2013,8800
Citroen,C3,Bez oštećenja,102,Ne,119000,1500,Dizel,Manuelni,2021,9100
Peugeot,508,Bez oštećenja,119,Da,215000,1600,Dizel,Manuelni,2015,10600
Peugeot,406,Bez oštećenja,110,Da,344250,1997,Dizel,Manuelni,2003,1950
Kia,Venga,Bez oštećenja,122,Ne,224,1600,Dizel,Manuelni,2012,4999
BMW,420 Gran Coupe,Bez oštećenja,190,Da,255000,2000,Dizel,Automatski,2015,20500
Fiat,Punto Evo,Bez oštećenja,84,Ne,201000,1300,Dizel,Manuelni,2010,3550
Volkswagen,Golf 7,Bez oštećenja,104,Ne,242000,1600,Dizel,Manuelni,2013,9300
Audi,A4 Allroad,Bez oštećenja,176,Da,211000,1956,Dizel,Automatski,2014,15250
BMW,116,Bez oštećenja,116,Da,231000,2000,Dizel,Manuelni,2012,10299
Fiat,Punto Evo,Bez oštećenja,65,Da,180000,1200,Benzin,Manuelni,2015,5000
Opel,Astra,Bez oštećenja,110,Da,111111,1600,Dizel,Manuelni,2015,7000
BMW,X3,Bez oštećenja,184,Ne,261000,2000,Dizel,Automatski,2012,13500
Peugeot,4007,Bez oštećenja,156,Da,236000,2200,Dizel,Manuelni,2008,6700
Jeep,Compass,Bez oštećenja,163,Ne,219000,2143,Dizel,Manuelni,2012,10650
Audi,S3,Bez oštećenja,265,Da,232000,2000,Benzin,Manuelni,2007,8500
Volkswagen,Golf Plus,Bez oštećenja,104,Da,288000,1900,Dizel,Manuelni,2007,5100
Mazda,CX-3,Bez oštećenja,104,Da,106000,1500,Dizel,Manuelni,2016,14000
Dacia,Duster,Bez oštećenja,107,Da,237000,1461,Dizel,Manuelni,2013,6950
Audi,A6,Bez oštećenja,177,Ne,248373,2000,Dizel,Automatski,2014,14500
Audi,A4,Bez oštećenja,149,Ne,250000,1968,Dizel,Manuelni,2017,15500
Mercedes Benz,CLA 220,Bez oštećenja,176,Da,235000,2200,Dizel,Automatski,2015,21000
Mercedes Benz,A 180,Bez oštećenja,116,Da,137700,1950,Dizel,Automatski,2021,24300
Citroen,AX,Bez oštećenja,105,Da,111222,1360,Benzin,Manuelni,1988,3000
Volkswagen,Golf 6,Bez oštećenja,110,Ne,28000,2000,Dizel,Automatski,2009,7800
Seat,Alhambra,Bez oštećenja,140,Ne,215215,2000,Dizel,Manuelni,2012,9500
Mazda,CX-3,Bez oštećenja,104,Da,106000,1500,Dizel,Manuelni,2016,14000
Dacia,Duster,Bez oštećenja,107,Da,237000,1461,Dizel,Manuelni,2013,6950
Audi,A6,Bez oštećenja,177,Ne,248373,2000,Dizel,Automatski,2014,14500
Audi,A4,Bez oštećenja,149,Ne,250000,1968,Dizel,Manuelni,2017,15500
Mercedes Benz,CLA 220,Bez oštećenja,176,Da,235000,2200,Dizel,Automatski,2015,21000
Mercedes Benz,A 180,Bez oštećenja,116,Da,137700,1950,Dizel,Automatski,2021,24300
Citroen,AX,Bez oštećenja,105,Da,111222,1360,Benzin,Manuelni,1988,3000
Volkswagen,Golf 6,Bez oštećenja,110,Ne,28000,2000,Dizel,Automatski,2009,7800
Seat,Alhambra,Bez oštećenja,140,Ne,215215,2000,Dizel,Manuelni,2012,9500
Nissan,Qashqai,Bez oštećenja,131,Ne,197000,1600,Dizel,Automatski,2014,13800
Volkswagen,Golf 6,Bez oštećenja,110,Da,285689,1968,Dizel,Manuelni,2009,7100
Volkswagen,Polo,Bez oštećenja,75,Da,254051,1422,Dizel,Manuelni,2008,3700
Audi,A6,Bez oštećenja,142,Da,292500,2000,Dizel,Automatski,2008,7300
Mitsubishi,Outlander,Bez oštećenja,150,Da,195000,2268,Dizel,Manuelni,2014,9500
Volkswagen,Passat,Bez oštećenja,150,Da,251000,2000,Dizel,Manuelni,2018,13000
Opel,Corsa,Bez oštećenja,74,Da,315000,1300,Dizel,Manuelni,2008,3200
Citroen,C3,Bez oštećenja,74,Da,180000,1560,Dizel,Manuelni,2017,7400
Renault,Clio,Bez oštećenja,74,Ne,190000,1463,Dizel,Manuelni,2016,6600
Volkswagen,Golf 7,Bez oštećenja,110,Da,190000,1600,Dizel,Manuelni,2014,10500
Seat,Ibiza,Bez oštećenja,105,Ne,219000,1600,Dizel,Manuelni,2011,5150
Kia,Rio,Bez oštećenja,75,Ne,225000,1100,Dizel,Manuelni,2013,4650
Audi,Q2,Bez oštećenja,150,Da,52000,1498,Benzin,Automatski,2021,25000
Mercedes Benz,180,Bez oštećenja,109,Ne,168007,1796,Dizel,Automatski,2013,9500
Audi,A6,Bez oštećenja,204,Da,149000,2000,Dizel,Automatski,2019,43400
Volkswagen,Sharan,Bez oštećenja,140,Da,210000,1968,Dizel,Manuelni,2011,9500
Peugeot,3008,Bez oštećenja,114,Da,188500,1600,Dizel,Automatski,2014,8500
Ford,Focus,Bez oštećenja,115,Da,228200,1753,Dizel,Manuelni,2005,3200
Audi,A3,Bez oštećenja,140,Ne,256480,1998,Dizel,Automatski,2005,4650
Volkswagen,Polo,Bez oštećenja,75,Ne,245000,1200,Dizel,Manuelni,2011,4600
Porsche,Cayenne,Bez oštećenja,386,Da,180000,4200,Dizel,Automatski,2015,51500
Volkswagen,Passat,Bez oštećenja,149,Da,285,2000,Dizel,Manuelni,2015,13600
Mercedes Benz,ML 350,Bez oštećenja,231,Da,236651,3000,Dizel,Automatski,2010,16000
Audi,A3,Bez oštećenja,105,Da,250000,1600,Dizel,Manuelni,2013,12500
Volkswagen,Passat,Bez oštećenja,149,Da,157000,1968,Dizel,Automatski,2020,19350
Škoda,Kodiaq,Bez oštećenja,200,Da,187000,2000,Dizel,Automatski,2021,30600
Mercedes Benz,E 250,Bez oštećenja,204,Da,167000,1800,Benzin,Automatski,2010,11000
Porsche,Cayenne,Bez oštećenja,386,Da,180000,4200,Dizel,Automatski,2015,51500
Volkswagen,Passat,Bez oštećenja,149,Da,285,2000,Dizel,Manuelni,2015,13600
Mercedes Benz,ML 350,Bez oštećenja,231,Da,236651,3000,Dizel,Automatski,2010,16000
Audi,A3,Bez oštećenja,105,Da,250000,1600,Dizel,Manuelni,2013,12500
Volkswagen,Passat,Bez oštećenja,149,Da,157000,1968,Dizel,Automatski,2020,19350
Škoda,Kodiaq,Bez oštećenja,200,Da,187000,2000,Dizel,Automatski,2021,30600
Mercedes Benz,E 250,Bez oštećenja,204,Da,167000,1800,Benzin,Automatski,2010,11000
Volkswagen,Passat,Bez oštećenja,140,Da,289000,2000,Dizel,Automatski,2008,5000
Renault,Scenic,Bez oštećenja,95,Da,200000,1500,Dizel,Manuelni,2012,5990
Land Rover,Freelander,Bez oštećenja,150,Da,270000,2200,Dizel,Automatski,2013,9999
Renault,Clio,Bez oštećenja,74,Da,225000,1500,Dizel,Manuelni,2015,1300
Audi,A4,Bez oštećenja,142,Ne,245000,2000,Dizel,Automatski,2013,10499
BMW,535,Bez oštećenja,299,Da,266000,3000,Dizel,Automatski,2011,16400
Opel,Corsa,Bez oštećenja,74,Da,252525,1300,Dizel,Manuelni,2011,3850
Nissan,X-Trail,Bez oštećenja,149,Da,243000,2000,Dizel,Manuelni,2008,9250
Peugeot,4008,Bez oštećenja,150,Ne,183000,1800,Dizel,Manuelni,2013,12850
Mercedes Benz,B 180,Bez oštećenja,109,Ne,250000,1800,Dizel,Automatski,2013,9950
BMW,X6,Bez oštećenja,285,Da,214000,2986,Dizel,Automatski,2009,17950
Opel,Astra,Bez oštećenja,125,Da,155000,1686,Dizel,Manuelni,2011,6000
Audi,A6,Bez oštećenja,140,Da,270000,2000,Dizel,Automatski,2008,7300
Volkswagen,Golf 6,Bez oštećenja,110,Ne,312000,2000,Dizel,Manuelni,2009,6350
Volkswagen,Beetle,Bez oštećenja,100,Da,225555,1900,Dizel,Manuelni,2004,4300
Volkswagen,Touareg,Bez oštećenja,174,Da,380000,2500,Dizel,Manuelni,2003,5500
Opel,Meriva,Bez oštećenja,88,Da,298500,1699,Dizel,Manuelni,2004,1450
Audi,A6,Bez oštećenja,312,Da,264000,3000,Dizel,Automatski,2013,23000
Ford,Focus,Bez oštećenja,108,Da,216145,1600,Dizel,Manuelni,2009,3500
Mercedes Benz,E 220,Bez oštećenja,170,Da,204000,2200,Dizel,Automatski,2010,11800
Volkswagen,Passat,Bez oštećenja,150,Da,280000,2000,Dizel,Automatski,2018,17500
Volkswagen,Golf 4,Bez oštećenja,101,Da,254259,1900,Dizel,Manuelni,2001,2900
Volkswagen,Polo,Bez oštećenja,104,Ne,246709,1600,Dizel,Manuelni,2012,7500
Mercedes Benz,E 350,Bez oštećenja,231,Da,270000,2987,Dizel,Automatski,2010,13700
Alfa Romeo,159,Bez oštećenja,116,Da,302400,1900,Dizel,Manuelni,2007,3600
Renault,Megane,Bez oštećenja,110,Da,267000,1500,Dizel,Manuelni,2010,4700
Toyota,iQ,Bez oštećenja,68,Da,116000,990,Benzin,Automatski,2009,7700
Volkswagen,Passat,Bez oštećenja,140,Da,289000,2000,Dizel,Automatski,2007,5150
Volkswagen,Golf 6,Bez oštećenja,104,Da,220000,1598,Dizel,Manuelni,2011,7749
Alfa Romeo,159,Bez oštećenja,116,Da,302400,1900,Dizel,Manuelni,2007,3600
Renault,Megane,Bez oštećenja,110,Da,267000,1500,Dizel,Manuelni,2010,4700
Toyota,iQ,Bez oštećenja,68,Da,116000,990,Benzin,Automatski,2009,7700
Volkswagen,Passat,Bez oštećenja,140,Da,289000,2000,Dizel,Automatski,2007,5150
Volkswagen,Golf 6,Bez oštećenja,104,Da,220000,1598,Dizel,Manuelni,2011,7749
Citroen,C4,Bez oštećenja,114,Da,193000,1560,Dizel,Automatski,2014,8000
Audi,A6,Bez oštećenja,204,Da,291200,3000,Dizel,Tiptronik,2011,16800
Volkswagen,Polo,Bez oštećenja,74,Da,251113,1200,Dizel,Manuelni,2012,5550
BMW,X3,Bez oštećenja,190,Da,246000,2000,Dizel,Automatski,2016,16900
Citroen,C4 Cactus,Bez oštećenja,102,Da,210000,1496,Dizel,Manuelni,2019,10950
Audi,A4,Bez oštećenja,164,Da,224000,1968,Hibrid dizel,Automatski,2020,21990
Seat,Altea XL,Bez oštećenja,104,Da,235500,1900,Dizel,Manuelni,2008,4500
Volkswagen,Passat,Bez oštećenja,104,Da,236000,1600,Dizel,Manuelni,2011,10700
BMW,320,Bez oštećenja,163,Da,285847,2000,Dizel,Manuelni,2006,5500
Renault,Scenic,Bez oštećenja,110,Da,295000,1461,Dizel,Manuelni,2011,4400
Volkswagen,Passat,Bez oštećenja,100,Da,317235,1900,Dizel,Manuelni,2004,3200
Land Rover,Freelander,Bez oštećenja,149,Da,280560,2200,Dizel,Manuelni,2007,7900
Dacia,Dokker,Bez oštećenja,74,Da,260000,1500,Dizel,Manuelni,2015,6000
Peugeot,208,Bez oštećenja,68,Da,201000,1400,Dizel,Automatski,2013,8000
Renault,Clio,Bez oštećenja,74,Da,415000,1498,Dizel,Manuelni,2015,4000
Mercedes Benz,180,Bez oštećenja,116,Da,220000,2000,Dizel,Automatski,2020,26000
Audi,A3,Bez oštećenja,140,Da,210000,2000,Dizel,Automatski,2011,8800
Renault,Scenic,Bez oštećenja,110,Da,280000,1500,Dizel,Automatski,2011,6000
Smart,forTwo,Bez oštećenja,90,Da,198000,900,Benzin,Automatski,2016,9000
Audi,A4,Bez oštećenja,130,Da,320,1900,Dizel,Manuelni,2002,2500
Peugeot,308,Bez oštećenja,119,Da,289000,1600,Dizel,Manuelni,2017,7850
Audi,A3,Bez oštećenja,150,Da,105000,2000,Hibrid dizel,Automatski,2021,28000
Peugeot,407,Bez oštećenja,136,Da,272000,2000,Dizel,Manuelni,2007,3300
Volkswagen,Golf 8,Bez oštećenja,250,Da,42000,2000,Benzin,Automatski,2021,40000
Audi,A4,Bez oštećenja,130,Da,288888,1888,Dizel,Tiptronik,2004,2400
Audi,A3,Bez oštećenja,140,Da,123,2000,Dizel,Manuelni,2004,5999
Audi,A4,Bez oštećenja,143,Ne,2,20,Dizel,Automatski,2012,12500
Seat,Ibiza,Bez oštećenja,116,Ne,149999,1000,Benzin,Manuelni,2018,6290
Opel,Corsa,Bez oštećenja,59,Da,111111,1700,Dizel,Manuelni,1998,1500
Fiat,500,Bez oštećenja,106,Ne,127000,1300,Dizel,Manuelni,2011,5650
Volkswagen,Caddy,Bez oštećenja,110,Da,268000,1968,Dizel,Manuelni,2015,10300
Audi,A4,Bez oštećenja,143,Ne,2,20,Dizel,Automatski,2012,12500
Seat,Ibiza,Bez oštećenja,116,Ne,149999,1000,Benzin,Manuelni,2018,6290
Opel,Corsa,Bez oštećenja,59,Da,111111,1700,Dizel,Manuelni,1998,1500
Fiat,500,Bez oštećenja,106,Ne,127000,1300,Dizel,Manuelni,2011,5650
Volkswagen,Caddy,Bez oštećenja,110,Da,268000,1968,Dizel,Manuelni,2015,10300
Volkswagen,Tiguan,Bez oštećenja,149,Ne,250000,2000,Dizel,Automatski,2020,21500
Volkswagen,Golf Plus,Bez oštećenja,140,Ne,179000,1968,Dizel,Manuelni,2013,8850
Audi,A3,Bez oštećenja,115,Ne,172007,1600,Dizel,Automatski,2019,13299
Volkswagen,Golf 8,Bez oštećenja,149,Da,89000,1968,Dizel,Automatski,2020,23000
Citroen,C5,Bez oštećenja,114,Ne,201000,1560,Dizel,Automatski,2015,7550
Audi,A3,Bez oštećenja,105,Da,337000,0,Dizel,Manuelni,2005,4850
Renault,Scenic,Bez oštećenja,110,Da,244000,1500,Dizel,Automatski,2014,6500
Mercedes Benz,C 200,Bez oštećenja,136,Da,219000,2143,Dizel,Manuelni,2012,10500
Volkswagen,Tiguan,Bez oštećenja,190,Da,225000,1996,Dizel,Automatski,2017,21500
Volkswagen,Golf 7.5,Bez oštećenja,183,Da,182000,2000,Dizel,Manuelni,2017,19000
Fiat,Punto,Bez oštećenja,69,Da,290000,1300,Dizel,Manuelni,2004,1700
Renault,Kangoo,Bez oštećenja,89,Da,220500,1500,Dizel,Manuelni,2019,7600
Audi,A6,Bez oštećenja,204,Da,284000,3000,Dizel,Automatski,2013,17500
Renault,Kadjar,Bez oštećenja,116,Da,192000,1500,Dizel,Automatski,2020,16000
Land Rover,Freelander,Bez oštećenja,111,Da,238000,2000,Dizel,Automatski,2001,2800
Audi,A4 Allroad,Bez oštećenja,163,Da,250000,2000,Dizel,Tiptronik,2017,23000
Škoda,Fabia,Bez oštećenja,90,Da,197000,1400,Dizel,Manuelni,2015,9500
Volkswagen,Polo,Bez oštećenja,74,Da,272000,1200,Dizel,Manuelni,2010,4750
KGM,Actyon,Bez oštećenja,141,Da,197500,1998,Dizel,Manuelni,2008,3500
Audi,A4,Bez oštećenja,140,Da,241000,1968,Dizel,Manuelni,2015,13500
Volkswagen,Golf Sportsvan,Bez oštećenja,110,Da,228000,1600,Dizel,Automatski,2016,12500
Alfa Romeo,GT,Bez oštećenja,149,Da,241000,1949,Dizel,Manuelni,2007,4000
BMW,X5,Bez oštećenja,235,Da,261000,3000,Dizel,Automatski,2008,14000
Audi,A4,Bez oštećenja,136,Da,254000,2000,Dizel,Manuelni,2009,8500
Mercedes Benz,V class,Bez oštećenja,163,Ne,340000,2000,Dizel,Automatski,2014,27000
Audi,Q5,Bez oštećenja,239,Da,180000,3000,Dizel,Automatski,2011,10999
Volkswagen,Golf 8,Bez oštećenja,302,Da,54000,1984,Benzin,Automatski,2021,39000
Mercedes Benz,G 350,Bez oštećenja,244,Da,143509,2987,Dizel,Automatski,2016,77000
Volkswagen,Touareg,Bez oštećenja,259,Da,225000,3000,Dizel,Automatski,2011,20500
Volkswagen,Golf Sportsvan,Bez oštećenja,149,Da,250000,2000,Dizel,Manuelni,2014,11900
Land Rover,Range Rover,Bez oštećenja,340,Da,169000,4367,Dizel,Automatski,2016,54900
Land Rover,Range Rover,Bez oštećenja,340,Da,169000,4367,Dizel,Automatski,2016,54900
Suzuki,Grand Vitara,Bez oštećenja,130,Da,290000,1900,Dizel,Manuelni,2011,8500
Renault,Laguna,Bez oštećenja,115,Da,400000,1500,Dizel,Manuelni,2008,3150
Mercedes Benz,S 350,Bez oštećenja,258,Da,179000,2987,Dizel,Automatski,2010,18500
Audi,A4,Bez oštećenja,163,Da,216000,2000,Hibrid dizel,Automatski,2020,21250
Ford,Fiesta,Bez oštećenja,58,Da,72000,1300,Benzin,Manuelni,1992,49900
BMW,520,Bez oštećenja,163,Da,159000,1993,Dizel,Automatski,2018,29990
Mercedes Benz,C 220,Bez oštećenja,176,Da,280000,2200,Dizel,Automatski,2012,8999
Audi,A4,Bez oštećenja,190,Ne,248400,1989,Dizel,Automatski,2016,16600
Volkswagen,Golf 8,Bez oštećenja,115,Ne,185000,2000,Dizel,Automatski,2021,20800
Audi,A4,Bez oštećenja,150,Ne,225000,2000,Dizel,Automatski,2014,12500
Škoda,Superb,Bez oštećenja,104,Da,260000,1900,Dizel,Manuelni,2010,7900
Fiat,500,Bez oštećenja,69,Da,115145,1242,Benzin,Manuelni,2011,7000
Porsche,Cayenne,Bez oštećenja,245,Ne,240000,3000,Dizel,Automatski,2012,31000
Škoda,Octavia,Bez oštećenja,140,Da,207000,2000,Dizel,Manuelni,2008,5700
Renault,Megane,Bez oštećenja,95,Da,230000,1461,Dizel,Manuelni,2014,7500
Volkswagen,Arteon,Bez oštećenja,149,Da,181000,2000,Dizel,Automatski,2022,28850
Škoda,Roomster,Bez oštećenja,104,Da,322000,1900,Dizel,Manuelni,2007,4400
Volkswagen,Golf 7,Bez oštećenja,184,Da,270000,2000,Dizel,Automatski,2014,13000
Mercedes Benz,220,Bez oštećenja,136,Da,326000,2200,Dizel,Manuelni,2012,7500
Citroen,C4,Bez oštećenja,110,Ne,172000,1500,Dizel,Manuelni,2021,13600
Mercedes Benz,CLS 320,Bez oštećenja,224,Da,340000,3000,Dizel,Automatski,2007,8000
Audi,A4,Oštećen - u voznom stanju,131,Da,2700,1500,Dizel,Manuelni,2001,2500
Audi,A8,Bez oštećenja,262,Da,191000,2967,Dizel,Automatski,2015,34000
Renault,Clio,Bez oštećenja,99,Ne,146000,999,Benzin,Manuelni,2021,8800
Volkswagen,Touareg,Bez oštećenja,204,Da,255362,3000,Dizel,Automatski,2012,16200
Renault,Koleos,Bez oštećenja,149,Da,192500,1749,Dizel,Automatski,2019,19900
Audi,A4,Bez oštećenja,149,Da,253733,2000,Dizel,Automatski,2019,20800
Renault,Megane,Bez oštećenja,89,Da,332000,1500,Dizel,Manuelni,2011,3700
Audi,A6,Bez oštećenja,204,Da,174000,1968,Dizel,Automatski,2019,28999
Mercedes Benz,ML 280,Bez oštećenja,190,Da,360000,3000,Dizel,Automatski,2009,13500
Volkswagen,Tiguan,Bez oštećenja,140,Ne,256000,2000,Dizel,Automatski,2015,16200
Audi,A3,Bez oštećenja,110,Da,230000,1598,Dizel,Manuelni,2014,10800
Volkswagen,Polo,Bez oštećenja,74,Ne,243000,1600,Dizel,Manuelni,2010,6000
Volkswagen,Passat,Bez oštećenja,140,Ne,287000,2000,Dizel,Automatski,2013,8499
Volkswagen,Golf 6,Bez oštećenja,170,Da,250000,1968,Dizel,Automatski,2012,12000
Volkswagen,Tiguan,Bez oštećenja,140,Ne,256000,2000,Dizel,Automatski,2015,16200
Audi,A3,Bez oštećenja,110,Da,230000,1598,Dizel,Manuelni,2014,10800
Volkswagen,Polo,Bez oštećenja,74,Ne,243000,1600,Dizel,Manuelni,2010,6000
Volkswagen,Passat,Bez oštećenja,140,Ne,287000,2000,Dizel,Automatski,2013,8499
Volkswagen,Golf 6,Bez oštećenja,170,Da,250000,1968,Dizel,Automatski,2012,12000
Volkswagen,Tiguan,Bez oštećenja,149,Da,144000,2000,Dizel,Manuelni,2017,20000
Citroen,C3 Aircross,Bez oštećenja,120,Ne,161500,1499,Dizel,Automatski,2019,11650
Peugeot,508,Bez oštećenja,140,Da,343000,2000,Dizel,Manuelni,2011,8200
Mini,Paceman,Bez oštećenja,184,Da,111000,1600,Benzin,Automatski,2013,13900
BMW,X4,Bez oštećenja,190,Ne,190000,1995,Dizel,Automatski,2014,19800
Mercedes Benz,A 200,Bez oštećenja,136,Ne,250000,1800,Dizel,Manuelni,2013,13600
Mercedes Benz,A 180,Bez oštećenja,116,Da,128000,1500,Dizel,Automatski,2019,20900
Nissan,Pathfinder,Bez oštećenja,190,Da,250000,2488,Dizel,Manuelni,2012,15000
Volkswagen,Polo,Bez oštećenja,90,Da,234784,1598,Dizel,Manuelni,2011,5800
Audi,A6,Bez oštećenja,140,Da,223000,1969,Dizel,Manuelni,2010,9800
Renault,Kangoo,Bez oštećenja,74,Ne,245000,1500,Dizel,Manuelni,2012,4900
Citroen,C4 Cactus,Bez oštećenja,99,Ne,227000,1600,Dizel,Manuelni,2015,7950
Hyundai,Santa Fe,Bez oštećenja,155,Da,260000,2200,Dizel,Automatski,2009,9300
Mercedes Benz,A 160,Bez oštećenja,82,Da,123456,1998,Dizel,Manuelni,2007,3700
Renault,Espace,Bez oštećenja,160,Da,220000,1590,Dizel,Automatski,2016,15000
Renault,Kangoo,Bez oštećenja,75,Ne,229000,1500,Dizel,Manuelni,2014,6500
Volkswagen,Tiguan,Bez oštećenja,150,Ne,186671,1968,Dizel,Automatski,2016,20250
BMW,116,Bez oštećenja,116,Ne,179979,1995,Dizel,Manuelni,2012,9100
Mercedes Benz,A 180,Bez oštećenja,109,Da,285000,1992,Dizel,Manuelni,2006,3200
Volkswagen,Passat,Bez oštećenja,131,Da,384000,1900,Dizel,Automatski,2001,1800
Renault,Scenic,Bez oštećenja,110,Da,280000,1500,Dizel,Manuelni,2011,5000
Volkswagen,Passat,Bez oštećenja,170,Da,264268,2000,Dizel,Automatski,2012,10800
Volkswagen,Passat,Bez oštećenja,240,Da,195000,2000,Dizel,Automatski,2015,19900
Volkswagen,Polo,Bez oštećenja,95,Ne,143000,999,Benzin,Manuelni,2018,10450
Audi,A4,Bez oštećenja,204,Da,273350,2967,Dizel,Automatski,2013,13000
Volkswagen,Polo,Bez oštećenja,75,Da,222000,1200,Dizel,Manuelni,2010,4999
Audi,A8,Bez oštećenja,251,Da,209000,3000,Dizel,Automatski,2010,21000
Seat,Altea,Bez oštećenja,104,Da,280133,1600,Dizel,Automatski,2011,6600
Fiat,Punto Evo,Bez oštećenja,95,Da,263000,1300,Dizel,Manuelni,2011,3700
Audi,A4,Bez oštećenja,177,Da,298000,2000,Dizel,Automatski,2012,13800
Audi,A6,Bez oštećenja,231,Da,189946,30,Dizel,Automatski,2018,39999
Fiat,Punto Evo,Bez oštećenja,95,Da,263000,1300,Dizel,Manuelni,2011,3700
Audi,A4,Bez oštećenja,177,Da,298000,2000,Dizel,Automatski,2012,13800
Audi,A6,Bez oštećenja,231,Da,189946,30,Dizel,Automatski,2018,39999
Volkswagen,Golf 6,Bez oštećenja,105,Ne,220000,1600,Dizel,Manuelni,2010,5300
Volkswagen,Tiguan,Bez oštećenja,239,Da,249000,20,Dizel,Automatski,2018,34000
BMW,118,Bez oštećenja,122,Da,267580,2000,Dizel,Manuelni,2006,4750
Audi,A3,Bez oštećenja,184,Da,247000,1968,Dizel,Automatski,2016,21000
Škoda,Octavia,Bez oštećenja,115,Da,5350,1968,Dizel,Manuelni,2024,26980
Mitsubishi,Outlander,Bez oštećenja,140,Da,388800,1968,Dizel,Manuelni,2007,7300
Škoda,Octavia,Bez oštećenja,104,Da,260000,1598,Dizel,Manuelni,2015,8300
Ford,Transit,Bez oštećenja,115,Da,209000,2200,Dizel,Manuelni,2010,7000
Audi,A4,Bez oštećenja,116,Da,219500,1896,Dizel,Manuelni,2006,4600
Peugeot,4008,Bez oštećenja,150,Ne,186986,1800,Dizel,Manuelni,2013,12000
Ford,Mondeo,Bez oštećenja,140,Da,300,1997,Dizel,Automatski,2010,4000
Nissan,Micra,Bez oštećenja,80,Ne,164000,1200,Benzin,Manuelni,2011,3800
Volkswagen,Touareg,Bez oštećenja,174,Da,277000,2499,Dizel,Automatski,2004,7000
Audi,Q7,Bez oštećenja,245,Da,260000,3000,Dizel,Automatski,2011,23500
Volkswagen,Jetta,Bez oštećenja,140,Da,230000,1968,Dizel,Manuelni,2010,6500
Volkswagen,Golf 5,Bez oštećenja,105,Da,300000,1886,Dizel,Manuelni,2004,3500
Mazda,CX-5,Bez oštećenja,149,Da,211800,2200,Dizel,Automatski,2014,13500
Volkswagen,Passat CC,Bez oštećenja,176,Da,250000,1996,Dizel,Automatski,2015,15400
Volkswagen,Passat,Bez oštećenja,110,Ne,217652,2000,Dizel,Manuelni,2010,7250
Audi,A4,Bez oštećenja,136,Da,217000,2000,Hibrid dizel,Automatski,2019,26999
Volkswagen,Golf 3,Bez oštećenja,63,Da,260000,1900,Dizel,Manuelni,1993,1150
BMW,520,Bez oštećenja,183,Da,290,2000,Dizel,Automatski,2011,11800
Smart,forFour,Bez oštećenja,75,Da,245000,1100,Benzin,Tiptronik,2006,2800
Volkswagen,Golf 6,Bez oštećenja,110,Ne,245000,2000,Dizel,Manuelni,2009,6600
Audi,Q5,Bez oštećenja,204,Da,235685,1998,Dizel,Automatski,2020,28500
Renault,Megane,Bez oštećenja,89,Da,203000,1500,Dizel,Manuelni,2016,10250
Volkswagen,Polo,Bez oštećenja,90,Ne,245689,1598,Dizel,Manuelni,2010,5300
Renault,Captur,Bez oštećenja,90,Da,213000,1461,Dizel,Manuelni,2015,9700
Mercedes Benz,A 250,Bez oštećenja,218,Da,48000,1332,Hibrid benzin,Automatski,2021,31000
Volkswagen,Passat,Bez oštećenja,136,Da,450000,2,Dizel,Manuelni,2009,6500
Peugeot,2008,Bez oštećenja,99,Ne,164357,1600,Dizel,Manuelni,2016,10300
Audi,A4,Bez oštećenja,204,Da,71000,2000,Dizel,Tiptronik,2021,35900
Hyundai,iX35,Bez oštećenja,134,Da,142212,1600,Benzin,Manuelni,2012,9500
Audi,A4,Bez oštećenja,204,Da,71000,2000,Dizel,Tiptronik,2021,35900
Hyundai,iX35,Bez oštećenja,134,Da,142212,1600,Benzin,Manuelni,2012,9500
Škoda,Octavia,Bez oštećenja,140,Da,221000,2000,Dizel,Automatski,2012,7699
Seat,Ibiza,Bez oštećenja,75,Ne,243025,1200,Dizel,Manuelni,2011,4100
Audi,A4,Bez oštećenja,170,Da,270000,2000,Dizel,Manuelni,2008,8599
