marka,model,ostecenje,snaga,registrovan,kilometraza,kubikaza,gorivo,mjenjac,god,cena
Opel,Zafira Tourer,Bez oštećenja,120,Da,210000,1600,Dizel,Manuelni,2015,8450
Audi,Q7,Bez oštećenja,245,Da,300000,2989,Dizel,Tiptronik,2014,21999
Maserati,Ghibli,Bez oštećenja,411,Da,147000,2989,Benzin,Tiptronik,2014,41999
Land Rover,Range Rover Sport,Bez oštećenja,293,Da,300000,2993,Dizel,Tiptronik,2013,22999
Citroen,C4 Cactus,Bez oštećenja,105,Da,176000,1500,Dizel,Manuelni,2019,11000
Citroen,C4,Bez oštećenja,136,Da,223000,1500,Dizel,Automatski,2019,12500
Citroen,C3,Bez oštećenja,86,Da,85000,1200,Benzin,Manuelni,2019,7500
Seat,Ibiza,Bez oštećenja,74,Da,228000,1200,Dizel,Manuelni,2010,4000
Ford,Focus,Bez oštećenja,100,Da,97000,999,Benzin,Manuelni,2018,11500
Citroen,DS3,Bez oštećenja,93,Ne,226350,1569,Dizel,Manuelni,2011,5800
Mercedes Benz,A 180,Bez oštećenja,109,Ne,182369,1461,Dizel,Automatski,2016,14400
Škoda,Superb,Bez oštećenja,150,Da,260147,1968,Dizel,Automatski,2016,16300
BMW,X1,Bez oštećenja,150,Da,191000,2000,Dizel,Automatski,2019,19950
Volvo,XC 90,Bez oštećenja,224,Ne,204000,2000,Dizel,Automatski,2015,32000
Volvo,XC 40,Bez oštećenja,149,Da,154000,2000,Dizel,Automatski,2019,24800
BMW,X2 M,Bez oštećenja,190,Da,139954,2000,Dizel,Automatski,2018,25950
Renault,Koleos,Bez oštećenja,177,Da,57000,1995,Dizel,Automatski,2017,21900
Volkswagen,Passat,Bez oštećenja,131,Da,245000,1900,Dizel,Manuelni,2004,2950
Volvo,XC 60,Bez oštećenja,197,Ne,110000,2000,Dizel,Automatski,2021,34790
Dacia,Stepway,Bez oštećenja,90,Ne,16069,999,Benzin,Manuelni,2024,14390
Cupra,Formentor,Bez oštećenja,390,Da,80000,2480,Benzin,Automatski,2022,57600
Renault,Koleos,Bez oštećenja,131,Da,134000,1600,Dizel,Manuelni,2018,16800
Volkswagen,Golf 8,Bez oštećenja,150,Da,171000,2000,Dizel,Automatski,2022,23500
Toyota,Yaris,Bez oštećenja,99,Da,62552,1329,Benzin,Manuelni,2016,9500
BMW,640 Gran Coupe,Bez oštećenja,313,Da,240000,3000,Dizel,Automatski,2012,28000
Audi,Q5,Bez oštećenja,231,Da,227000,2967,Dizel,Automatski,2019,34200
Audi,SQ5,Bez oštećenja,326,Da,235000,2999,Dizel,Automatski,2015,22500
BMW,X5,Bez oštećenja,286,Da,139000,2995,Hibrid dizel,Automatski,2021,54950
Audi,Q5,Bez oštećenja,177,Da,142000,2000,Dizel,Automatski,2015,23000
Peugeot,208,Bez oštećenja,74,Da,219000,1600,Dizel,Manuelni,2015,7100
BMW,318,Bez oštećenja,136,Ne,272000,2000,Dizel,Automatski,2009,7700
Seat,Altea,Bez oštećenja,104,Da,213666,1598,Dizel,Manuelni,2011,5800
Renault,Kadjar,Bez oštećenja,131,Da,151500,1200,Benzin,Manuelni,2016,13500
Audi,A7,Bez oštećenja,272,Da,190,2967,Dizel,Automatski,2015,26200
BMW,418 Gran Coupe,Bez oštećenja,136,Da,234153,1995,Dizel,Manuelni,2014,16500
Audi,A6,Bez oštećenja,204,Da,147000,2000,Hibrid dizel,Automatski,2020,41500
Renault,Kadjar,Bez oštećenja,131,Da,151500,1200,Benzin,Manuelni,2016,13500
Audi,A7,Bez oštećenja,272,Da,190,2967,Dizel,Automatski,2015,26200
BMW,418 Gran Coupe,Bez oštećenja,136,Da,234153,1995,Dizel,Manuelni,2014,16500
Audi,A6,Bez oštećenja,204,Da,147000,2000,Hibrid dizel,Automatski,2020,41500
BMW,216,Bez oštećenja,136,Da,2500,1500,Benzin,Automatski,2024,34900
BMW,X6,Bez oštećenja,259,Da,72000,3000,Dizel,Automatski,2018,50000
Volkswagen,Touareg,Bez oštećenja,204,Ne,206000,2998,Dizel,Automatski,2016,20000
Volkswagen,Golf GTI,Bez oštećenja,211,Ne,270000,2000,Benzin,Automatski,2010,11500
Renault,Espace,Bez oštećenja,160,Da,222000,1599,Dizel,Automatski,2016,15000
Peugeot,3008,Bez oštećenja,130,Ne,156700,1200,Benzin,Automatski,2019,15300
Volkswagen,Golf 7,Bez oštećenja,149,Da,247565,2000,Dizel,Automatski,2013,12950
Mini,Countryman Cooper SD,Bez oštećenja,143,Ne,173000,2000,Dizel,Manuelni,2013,9900
Renault,Scenic,Bez oštećenja,110,Da,252000,1461,Dizel,Manuelni,2015,6700
Audi,A6,Bez oštećenja,245,Ne,278000,3000,Dizel,Automatski,2014,17000
Fiat,500L,Bez oštećenja,84,Da,264000,1248,Dizel,Manuelni,2013,6400
Volkswagen,Arteon,Bez oštećenja,190,Da,65590,1968,Dizel,Automatski,2020,30490
Volvo,XC 40,Bez oštećenja,190,Da,117750,1969,Dizel,Automatski,2020,30950
Volkswagen,Passat,Bez oštećenja,120,Da,269200,1600,Dizel,Manuelni,2015,10500
Chevrolet,Cruze,Bez oštećenja,113,Da,237530,1600,Benzin+Plin,Manuelni,2010,5600
Alfa Romeo,159,Bez oštećenja,150,Da,265000,1910,Dizel,Manuelni,2005,3900
